Y,X1,X2,X3,X4,X5
1.648425462,-23.28863774,-0.48728176,1.965393573,-0.197504069,1.650276723
1.584907501,6.509830006,-0.369913731,-1.535313864,0.79305097,-0.802987295
1.589733235,4.681083704,0.293978869,-2.081335535,-0.031778528,0.021620237
1.594558969,8.218107719,-0.4345688,-2.314507099,0.470189401,-0.350435745
1.599384703,-8.801066775,1.077922693,1.731982642,-1.30824153,-1.157137678
1.604210437,-7.046261115,-1.263747634,0.912021661,0.050792032,-0.416706934
1.60903617,-1.0607049,1.335727234,-1.162627637,1.778132747,0.10836125
1.613861904,3.983019205,-0.992595229,-1.258005457,1.323597168,-0.48124264
1.618687638,0.58471901,0.014325946,-0.445748426,0.939367023,-0.729892478
1.623513372,-10.85961689,0.182082231,0.329759144,2.263197788,0.709378069
1.628339106,-28.61708754,-1.60051668,2.412880169,0.255811834,2.383770612
1.63316484,-8.508930486,-1.015935221,1.237912738,-0.11600509,-0.449578003
1.637990573,-6.351431567,1.463854592,0.19625833,-0.209193216,-0.152089922
1.642816307,-9.976464759,-0.265010844,0.706995708,-0.514823997,0.2785035
1.647642041,2.827415397,0.408059505,-0.247746046,0.844162357,-1.379179174
1.652467775,-9.794698004,-1.287917179,1.693234623,2.311074063,-0.62214273
1.657293509,-1.364327437,-0.808620973,-1.732108831,-0.349403258,1.069604638
1.662119243,-10.16594767,-1.415517818,0.441085192,1.095961888,0.718672065
1.666944976,-4.662302652,2.464288327,-0.533524497,0.114011117,0.134915741
1.67177071,1.265064614,0.892522158,-0.586964018,1.217673006,-0.782171624
1.676596444,-0.135591588,0.352673039,-1.327264457,0.325156529,0.300033797
1.681422178,-6.253340009,-0.829776847,-0.357172113,1.718210947,0.676957777
1.686247912,-0.686029655,0.55703879,0.173619771,-0.030799686,-1.074330811
1.691073646,1.804871708,-0.103742088,-1.032553592,0.50908507,-0.297781728
1.695899379,-12.25752797,-1.032236137,-0.159810956,0.893239812,1.705252694
1.700725113,-4.732144389,0.187797673,0.202559042,1.591794599,-0.273328968
1.705550847,-17.11953213,-0.341810816,1.24446579,-0.544499208,1.219741983
1.710376581,-16.69175286,0.1970018,1.558555511,-1.036309949,0.772708873
1.715202315,-10.46495856,0.379995692,1.159680341,-0.919609362,-0.070110589
1.720028048,-2.27795461,1.476873635,0.896686997,-1.489132006,-1.533399589
1.724853782,-5.784927594,-1.927052127,0.552893245,-0.579325893,-0.095419499
1.550343943,-4.471346031,0.050602543,0.425961213,0.725548732,-0.649726048
1.555169677,0.614177517,0.214201201,-2.266456919,-0.997364852,1.00348024
1.559995411,-4.438816831,-0.246854302,-0.056339546,-0.349245063,-0.122723161
1.564821145,-12.80161243,0.694639656,-0.130932849,0.186767936,1.462341848
1.569646879,6.506527327,-0.260780743,-0.729404568,0.600385327,-1.598235023
